id,sex,Age,agemons,weight,height,District,Cluster
1815,2,12,144,22.5,137.4,1,27
1816,1,12,144,22.1,128.6,3,74
1817,1,10,120,22.1,129.8,3,87
1818,1,11,132,22.1,129.9,3,87
1819,1,10,120,22.1,131.5,3,71
1820,1,10,120,22.1,132.6,3,83
1821,2,10,120,22.1,133.6,3,90
1822,1,10,120,22.1,134.2,3,77
1823,1,15,180,22.1,138.6,1,13
1824,2,10,120,22,120,2,67
1825,1,10,120,22,120,2,61
1826,2,10,120,22,120.3,2,67
1827,1,10,120,22,121.3,2,52
1828,1,11,132,22,122,2,60
1829,2,10,120,22,122.2,2,40
1830,2,10,120,22,122.5,2,54
1831,2,10,120,22,124,2,58
1832,1,10,120,22,124.5,2,66
1833,2,11,132,22,124.5,2,65
1834,1,10,120,22,125,2,65
1835,1,10,120,22,125.2,1,16
1836,1,11,132,22,126,2,40
1837,1,10,120,22,126,1,17
1838,2,11,132,22,126,3,87
1839,1,10,120,22,126.5,1,27
1840,1,10,120,22,126.6,2,61
1841,1,10,120,22,127,2,50
1842,2,10,120,22,127.9,2,51
1843,1,10,120,22,128,1,11
1844,2,10,120,22,128,3,79
1845,2,12,144,22,128.4,2,49
1846,2,15,180,22,128.6,2,41
1847,2,10,120,22,128.8,2,42
1848,1,10,120,22,129,1,10
1849,1,10,120,22,129,1,13
1850,2,10,120,22,129.2,3,82
1851,2,11,132,22,129.4,3,85
1852,1,10,120,22,129.5,3,72
1853,1,10,120,22,129.7,2,61
1854,2,11,132,22,129.8,2,65
1855,1,10,120,22,129.8,2,52
1856,2,12,144,22,130,1,27
1857,2,10,120,22,130,1,27
1858,1,10,120,22,130,1,29
1859,2,10,120,22,130,3,76
1860,1,11,132,22,130,3,88
1861,1,10,120,22,130,3,88
1862,2,12,144,22,130.4,2,41
1863,2,10,120,22,131,3,84
1864,2,10,120,22,131,3,81
1865,2,11,132,22,132,3,73
1866,1,10,120,22,132,3,78
1867,2,11,132,22,132.1,1,20
1868,2,10,120,22,133,3,75
1869,1,10,120,22,133.2,2,41
1870,1,10,120,22,133.8,3,81
1871,2,10,120,22,134.1,3,76
1872,1,10,120,22,134.2,3,75
1873,2,11,132,22,134.4,1,29
1874,1,13,156,22,134.6,2,48
1875,2,10,120,22,134.6,3,89
1876,1,10,120,22,135.5,2,54
1877,2,12,144,22,136,1,28
1878,2,12,144,22,136.5,2,40
1879,1,13,156,22,136.5,1,15
1880,2,12,144,22,136.7,1,39
1881,2,10,120,22,138.2,1,23
1882,2,14,168,22,138.2,3,86
1883,1,13,156,22,138.3,2,46
1884,2,10,120,22,138.8,1,17
1885,1,10,120,22,139,1,13
1886,1,14,168,22,139,3,82
1887,2,13,156,22,139.1,3,84
1888,1,12,144,22,140,1,27
1889,2,13,156,22,140,3,73
1890,1,11,132,22,141,3,86
1891,2,10,120,21.5,126.4,1,20
1892,1,10,120,21.5,128.5,1,27
1893,1,11,132,21.5,128.9,2,52
1894,2,10,120,21.5,130.2,2,49
1895,2,10,120,21.5,130.7,2,69
1896,1,10,120,21.5,132,2,53
1897,2,12,144,21.2,132,3,85
1898,1,10,120,21.1,129.3,3,90
1899,2,10,120,21.1,132,3,85
1900,1,10,120,21,117.5,2,56
1901,1,10,120,21,119,2,51
1902,2,10,120,21,119.8,2,53
1903,2,11,132,21,121.5,2,46
1904,1,10,120,21,122,1,10
1905,2,10,120,21,122.1,2,63
1906,2,11,132,21,123,2,56
1907,2,10,120,21,123.4,2,46
1908,1,10,120,21,123.9,2,52
1909,1,10,120,21,124,2,40
1910,1,12,144,21,124,1,10
1911,2,10,120,21,125,2,65
1912,2,10,120,21,125,3,84
1913,2,12,144,21,125.4,2,61
1914,2,11,132,21,125.5,2,41
1915,2,10,120,21,125.6,2,65
1916,2,10,120,21,126,3,72
1917,1,12,144,21,127.1,2,58
